# HK32F030M SRAM + Peripheral Register Dump (v2 — with AP reinit)
# Date: Wed May 20 10:14:15 2026 GMT-0400
# RDP is active (0x00) — flash reads blocked.
# SRAM and peripherals are readable.

# SRAM (0x20000000) - live program state
200003d8: 00 00 00 00
200003dc: 00 00 00 00
200003e0: 00 00 00 00
200003e4: 00 00 00 00
200003e8: 00 00 00 00
200003ec: 00 00 00 00
200003f0: 00 00 00 00
200003f4: 00 00 00 00
200003f8: 00 00 00 00
200003fc: 00 00 00 00
20000400: 00 00 00 00
20000404: 00 00 00 00
20000408: 00 00 00 00
2000040c: 00 00 00 00
20000410: 00 00 00 00
20000414: 00 00 00 00
20000418: 00 00 00 00
2000041c: 00 00 00 00
20000420: 00 00 00 00
20000424: 00 00 00 00
20000428: 00 00 00 00
2000042c: 00 00 00 00
20000430: 00 00 00 00
20000434: 00 00 00 00
20000438: 00 00 00 00
2000043c: 00 00 00 00
20000440: 00 00 00 00
20000444: 00 00 00 00
20000448: 00 00 00 00
2000044c: 68 04 00 20
20000450: 05 00 00 00
20000454: fb 05 00 08
20000458: 00 38 01 40
2000045c: 00 38 01 40
20000460: a8 04 00 20
20000464: 58 33 00 08
20000468: 01 00 00 00
2000046c: 83 08 00 08
20000470: 58 33 00 08
20000474: f1 ff ff ff
20000478: 80 02 00 20
2000047c: 02 00 00 20
20000480: 05 0d 00 00
20000484: 00 00 00 e0
20000488: ff ff ff ff
2000048c: cb 07 00 08
20000490: b0 1b 00 08
20000494: 58 33 00 08
20000498: 01 00 00 00
2000049c: 83 08 00 08
200004a0: 58 33 00 08
200004a4: f9 ff ff ff
200004a8: e8 03 00 00
200004ac: e0 03 00 00
200004b0: 70 07 00 20
200004b4: 00 00 00 e0
200004b8: ff ff ff ff
200004bc: a7 24 00 08
200004c0: 90 38 00 08
200004c4: 00 00 00 21
200004c8: 95 e5 1c c7
200004cc: 59 9e 8f b7
200004d0: b9 30 fc 4f
200004d4: f9 9b 6c f8
200004d8: 57 73 6c 9d
200004dc: 8e d1 af 7b
200004e0: f7 45 e9 d3
200004e4: 3a 9b c5 a1
200004e8: 51 9c 43 a2
200004ec: a8 a8 9b da
200004f0: 8c e6 5a f6
200004f4: 50 4f b3 ed
200004f8: 91 39 dd 30
200004fc: a6 5a b5 03
20000500: 8a a6 df a6
20000504: 4f fe 1b b2
20000508: 8e 9a 8e 34
2000050c: d0 2e 1b 34
20000510: 31 c6 18 b7
20000514: 8a 5d 06 50
20000518: 83 fb 89 c3
2000051c: 32 aa ea f9
20000520: f7 c6 23 8a
20000524: 46 e0 71 6d
20000528: 63 c5 b2 d6
2000052c: 57 cb 88 78
20000530: 93 2c 24 25
20000534: cd 23 c2 ee
20000538: 8d df 80 00
2000053c: 65 a9 cc 58
20000540: 35 fa 81 ff
20000544: 1b a8 dc 6b
20000548: 09 7e 5f 4c
2000054c: de f9 74 4e
20000550: eb 4e 8e 30
20000554: 3a b6 96 e8
20000558: 57 00 bf 9b
2000055c: 4f cb 4a 30
20000560: 73 a2 fc ea
20000564: 0b b9 97 bf
20000568: 8e 78 5e f9
2000056c: ba 07 06 76
20000570: bc b3 e9 f1
20000574: 2b 50 d9 24
20000578: c1 82 87 5d
2000057c: 07 e7 df c2
20000580: e3 50 4c 9d
20000584: 28 26 2d d6
20000588: b2 00 ea 52
2000058c: 84 8b 68 a5
20000590: 70 e3 09 db
20000594: 60 0b bc a7
20000598: 92 a4 83 13
2000059c: a7 d1 df 8a
200005a0: 48 f4 72 5a
200005a4: cc 86 8f 6b
200005a8: cf 75 c2 e7
200005ac: 3b 9b f3 ac
200005b0: 62 cb 2d cb
200005b4: d6 d6 77 a7
200005b8: d0 3f 69 cd
200005bc: 38 d0 47 25
200005c0: 14 99 58 5c
200005c4: 08 52 39 7b
200005c8: 4f 32 5b 64
200005cc: 2d e4 e6 dc
200005d0: 89 96 18 7b
200005d4: 4d 0d 85 3c
200005d8: 2f f5 07 2f
200005dc: 05 94 5e a6
200005e0: c7 6c 5c c8
200005e4: 5c ec 9b a9
200005e8: 4a eb 70 17
200005ec: 88 31 60 1e
200005f0: 3d 43 51 68
200005f4: 58 2b ff ea
200005f8: c7 d2 4b 9c
200005fc: 92 55 e6 4d
20000600: 96 7c e1 6d
20000604: ee ac e1 fa
20000608: 59 a7 62 bf
2000060c: 4b 07 b3 b0
20000610: 45 11 6a 45
20000614: 52 56 c6 e5
20000618: 22 a7 bb 8e
2000061c: d8 12 e3 14
20000620: 07 06 a8 46
20000624: 94 5d 4d 32
20000628: 69 32 bc 41
2000062c: 8e 3a d9 2a
20000630: ed 3e 41 7e
20000634: bc 31 65 ff
20000638: 45 f6 98 7e
2000063c: 1d 22 0e 94
20000640: 80 b0 f9 19
20000644: f4 e7 67 8b
20000648: c4 2d 55 d6
2000064c: 45 4a 5c 65
20000650: 2d 3c b5 47
20000654: 5f 33 3a fd
20000658: 7a 60 22 89
2000065c: ee 20 fe 2e
20000660: 1c b5 f9 81
20000664: a4 a2 a1 96
20000668: 93 2d 72 be
2000066c: be 87 a0 7f
20000670: 92 57 c5 cd
20000674: e2 06 ee 05
20000678: 21 0f 6f 67
2000067c: cf 90 20 17
20000680: 35 41 e5 2e
20000684: e7 83 76 54
20000688: f0 ad d3 aa
2000068c: 61 57 ca 4b
20000690: 3f 66 af 77
20000694: f6 6e 13 f6
20000698: c7 69 0c 72
2000069c: 5c c6 a7 c8
200006a0: b9 31 2b d9
200006a4: 76 d4 79 b2
200006a8: 63 58 2f 98
200006ac: 37 28 4b 2d
200006b0: a8 e7 77 2a
200006b4: c2 c5 a5 51
200006b8: 2a 39 15 d6
200006bc: d8 84 e2 29
200006c0: 51 ec 6e 71
200006c4: b4 95 b8 27
200006c8: d1 e1 cb ac
200006cc: 4c fc 40 c6
200006d0: ba 1a bf c7
200006d4: b1 5b 07 c4
200006d8: 7c 29 e8 31
200006dc: 59 3f 74 c3
200006e0: be e5 e9 69
200006e4: 5d 9b 9e 52
200006e8: 0e 38 9d 89
200006ec: a8 93 c8 47
200006f0: 54 6a 1b 40
200006f4: de 26 16 86
200006f8: a3 74 13 08
200006fc: 8a f1 18 55
20000700: c5 5e f3 5f
20000704: 24 d8 a7 fa
20000708: e4 53 25 56
2000070c: a4 f8 f6 d3
20000710: cc d0 48 fb
20000714: ae 22 8a 22
20000718: d3 c3 a7 67
2000071c: c3 a9 3f f3
20000720: 6a 39 57 ec
20000724: ca 9e f6 8e
20000728: 60 3f e4 57
2000072c: 98 0a 7a 84
20000730: 2e ee 99 31
20000734: b8 77 9b 02
20000738: 8c d8 f7 28
2000073c: 15 c1 32 2b
20000740: 8e 1b 93 4b
20000744: 70 19 1e 9e
20000748: 90 a8 07 b5
2000074c: a9 ba 51 93
20000750: ba ed 90 db
20000754: d0 bd 1a b2
20000758: 0e 43 56 85
2000075c: 08 6b 51 c5
20000760: bb 9b 28 be
20000764: d0 ed be f7
20000768: 62 e1 6a a8
2000076c: 7b e1 e8 28
20000770: fb ae 5b 0e
20000774: f6 25 45 4b
20000778: 45 8b aa a0
2000077c: 31 02 0b a0
20000780: f1 e7 93 36
20000784: 57 79 21 38
20000788: ed e0 8e 7c
2000078c: d8 0b 7f 78
20000790: 32 f7 73 92
20000794: d7 90 0c f8
20000798: f2 a2 4a 14
2000079c: b6 fd 4e b2
200007a0: 6e 9b 79 e3
200007a4: 51 68 8c bb
200007a8: 47 76 79 a5
200007ac: 05 37 c6 cf
200007b0: f7 87 e7 25
200007b4: 56 a2 bf 22
200007b8: c5 78 17 31
200007bc: ac 23 4f c3
200007c0: ed 41 6c 3f
200007c4: 3b 1f 1b da
200007c8: 22 28 8c 98
200007cc: c4 5a df fb
200007d0: 82 fa 77 2c
200007d4: bf 11 e0 bf
200007d8: c8 99 11 77
200007dc: 00 0c ef 8c
200007e0: cb 1d 2b 80
200007e4: d9 ff 5d ad
200007e8: 1a 9a e2 12
200007ec: c7 b6 53 09
200007f0: 2d d0 9e 1e
200007f4: 7e 85 a0 5b
200007f8: f7 05 cf 4f
200007fc: 64 d9 3a b5
20000800: 05 0a 02 cc
20000804: ce bc 1e 71
20000808: 50 3b a2 89
2000080c: 83 df a1 68
20000810: 29 d0 60 c4
20000814: a4 40 8d dc
20000818: 06 f2 21 85
2000081c: 94 22 26 8c
20000820: 22 9f dd 07
20000824: 2a 33 90 88
20000828: a2 10 da ff
2000082c: ce 8a 3b c5
20000830: a6 f7 79 09
20000834: 60 de 04 20
20000838: 52 60 b5 13
2000083c: db b5 2c 2e
20000840: 4a d9 49 d3
20000844: 74 f5 81 e8
20000848: 16 6a 3b ce
2000084c: 35 25 eb aa
20000850: c0 c1 39 77
20000854: 93 48 0e 2a
20000858: 12 3c df cc
2000085c: 21 2b e1 96
20000860: a3 12 68 ef
20000864: 63 8d 5f 4a
20000868: 7e fa c7 74
2000086c: 77 e3 f5 0d
20000870: 78 62 2d 7d
20000874: 84 f6 7a ae
20000878: 1a 24 a3 b4
2000087c: 10 eb 75 dd
20000880: 23 b6 87 84
20000884: 43 61 11 e0
20000888: 1d 31 b1 e5
2000088c: 1f 96 30 5f
20000890: c5 90 d0 be
20000894: 6a 60 c9 53
20000898: b8 99 be 5b
2000089c: 25 d2 e9 0c
200008a0: f2 4d d5 42
200008a4: 30 f5 b1 70
200008a8: 69 d8 50 3f
200008ac: 76 be 92 2a
200008b0: 45 b1 ec 8d
200008b4: bf b1 c8 a3
200008b8: a4 55 4b b7
200008bc: d2 6f 0e 8f
200008c0: b8 ce c8 c4
200008c4: 68 7a 13 10
200008c8: 68 c4 cb 24
200008cc: 81 e3 4b c0
200008d0: 55 97 c9 72
200008d4: 92 b4 8d ae
200008d8: 5e c6 72 52
200008dc: a4 63 b5 53
200008e0: 7f ea 45 f3
200008e4: b1 45 82 9b
200008e8: 8d 0d c2 0e
200008ec: f3 bf 06 42
200008f0: b7 54 d5 5e
200008f4: a1 71 d1 84
200008f8: a1 dc f6 a0
200008fc: 46 63 ed 36
20000900: 73 87 dd a4
20000904: 80 59 4c 83
20000908: 6a e9 29 23
2000090c: 58 c7 db 08
20000910: 2d 5f c8 ec
20000914: b7 d0 22 5f
20000918: d8 45 e8 a4
2000091c: 1a 70 56 62
20000920: ea 7a 88 16
20000924: de a0 f8 f0
20000928: 67 94 35 1a
2000092c: dc 1d d5 63
20000930: 50 c8 13 76
20000934: cf 97 e3 70
20000938: ee 9c 4f e5
2000093c: 9b dd 50 65
20000940: 8f ca 15 0f
20000944: 80 d2 65 6b
20000948: e9 a8 f7 3e
2000094c: 53 42 b6 8f
20000950: ff 09 86 48
20000954: 92 3c 4d 31
20000958: 43 ee b3 06
2000095c: 9b 79 a6 7e
20000960: 23 81 95 2e
20000964: 32 ba 0a a7
20000968: e2 23 e7 93
2000096c: bc 9f 22 28
20000970: 0f 8e 11 40
20000974: bf 62 c2 22
20000978: 2b d5 a8 de
2000097c: 08 1b fd 9b
20000980: 34 c9 d8 77
20000984: 7d 66 30 e5
20000988: 8e 5d 09 4a
2000098c: bd 8d 77 ef
20000990: 26 5c 85 b7
20000994: 8c b9 65 ec
20000998: 2a 81 99 e0
2000099c: ef 43 24 ac
200009a0: 8b 52 48 ad
200009a4: 92 b9 4f f6
200009a8: 11 1e c9 af
200009ac: fb cf 72 26
200009b0: 6d a2 a1 d7
200009b4: 66 f1 9a c1
200009b8: 72 b6 78 50
200009bc: 1d 65 1a 22
200009c0: 02 d0 22 14
200009c4: 68 c1 9b 91
200009c8: 99 be e1 5e
200009cc: 00 dc ef f0
200009d0: c8 56 d3 1c
200009d4: f0 6a 31 18
200009d8: 58 77 25 b3
200009dc: b1 14 9b b3
200009e0: 11 27 88 f7
200009e4: 26 41 da 22
200009e8: ff 4c 2a 5b
200009ec: 38 97 e5 0a
200009f0: c1 00 1f f7
200009f4: 0a dd 13 63
200009f8: eb 87 48 e6
200009fc: bf 8f c6 a6
20000a00: 38 e4 28 1f
20000a04: e0 41 0a c9
20000a08: 1a b7 2c 32
20000a0c: b0 14 c6 19
20000a10: 86 35 a8 5f
20000a14: 98 0c 00 19
20000a18: e3 56 6b cc
20000a1c: 21 3f de 3f
20000a20: 79 b2 f8 13
20000a24: f8 c9 08 43
20000a28: b8 aa 0f e6
20000a2c: ff 85 f8 56
20000a30: 37 67 38 dc
20000a34: 11 47 0d 5b
20000a38: 6f 25 60 f2
20000a3c: cf f3 da ac
20000a40: 73 03 41 75
20000a44: 2d 8f 27 dc
20000a48: 2a 75 ef 3d
20000a4c: 72 70 ac 0f
20000a50: 55 ac b0 02
20000a54: 44 3b 0c c8
20000a58: 82 f6 1d da
20000a5c: fb 70 a3 bd
20000a60: a8 d4 0e ef
20000a64: de 2d 86 e2
20000a68: e8 9f e3 c0
20000a6c: 45 11 08 fb
20000a70: 6c 58 b3 a4
20000a74: cf ac f3 25
20000a78: 56 8d d6 65
20000a7c: fb 11 51 25
20000a80: f7 89 08 b2
20000a84: 40 36 fd 34
20000a88: 93 af 50 65
20000a8c: 44 66 06 5a
20000a90: 96 7c 8b 43
20000a94: 4b 10 28 ae
20000a98: ea fc aa e6
20000a9c: 53 df 57 f5
20000aa0: 84 59 30 7d
20000aa4: 34 ae 86 78
20000aa8: ed 57 be 6d
20000aac: 97 fe ab 99
20000ab0: 97 81 1a ef
20000ab4: 95 79 b0 a3
20000ab8: d2 29 67 3e
20000abc: 59 03 ec 6f
20000ac0: a4 84 b5 b3
20000ac4: ea 0d 72 ce
20000ac8: f2 6e 88 5c
20000acc: d1 4e f4 cd
20000ad0: 8a 48 67 c1
20000ad4: 90 65 04 f4
20000ad8: e8 85 c5 dc
20000adc: f7 c7 00 a5
20000ae0: 84 ca ae ce
20000ae4: 17 87 7b 4e
20000ae8: a3 fa 61 44
20000aec: 24 94 f7 5f
20000af0: 18 ad 27 95
20000af4: ff 25 56 3e
20000af8: bb f2 81 75
20000afc: ba f0 a0 a8
20000b00: 27 ab 9b 14
20000b04: 1b 17 c5 c7
20000b08: 2a 43 69 1f
20000b0c: f0 fb 96 f2
20000b10: 43 6d 75 42
20000b14: f4 91 ea 1a
20000b18: ac 74 a7 12
20000b1c: 6b 96 33 8f
20000b20: 1a 28 d8 50
20000b24: 3d 23 45 78
20000b28: 40 66 c9 7b
20000b2c: 46 fc 53 29
20000b30: 05 b1 d7 d5
20000b34: d8 7b d6 37
20000b38: 4d 38 18 9e
20000b3c: 61 9b 6b a3
20000b40: 70 5d 8a 8c
20000b44: 87 75 97 d9
20000b48: 89 bc f9 52
20000b4c: e1 84 13 22
20000b50: 2c 8b 14 09
20000b54: 92 94 55 db
20000b58: b2 a7 e0 f5
20000b5c: 06 f6 88 74
20000b60: f5 fc 69 bb
20000b64: ab b6 2e 60
20000b68: fc 09 81 01
20000b6c: f4 c5 b7 89
20000b70: 35 7f b8 d7
20000b74: d5 5c 9a 5d
20000b78: dd bd 53 4f
20000b7c: 91 13 9d 30
20000b80: 39 a4 ed 31
20000b84: de 36 cd d5
20000b88: a7 7f 93 e2
20000b8c: e2 61 24 52
20000b90: f2 e9 4c f3
20000b94: 7c df 64 7b
20000b98: 41 94 21 14
20000b9c: ab cc f2 3e
20000ba0: 4f 6f 36 d1
20000ba4: 1f 56 c2 10
20000ba8: 59 26 99 45
20000bac: af c7 39 e9
20000bb0: 6f dc db df
20000bb4: 8a 82 e1 21
20000bb8: fb f0 b5 ea
20000bbc: b6 33 ab 0d
20000bc0: dc f4 25 ca
20000bc4: af 93 06 2a
20000bc8: 5b 63 a6 07
20000bcc: 67 a2 ce b7
20000bd0: 45 a1 92 0d
20000bd4: 80 5d 37 c8
20000bd8: 11 24 7b 73
20000bdc: 87 03 8f f1
20000be0: af a3 80 8f
20000be4: 90 39 99 db
20000be8: 51 c5 ee ef
20000bec: 61 82 17 81
20000bf0: 3e 37 40 20
20000bf4: 0a e3 ac ea
20000bf8: 94 22 25 75
20000bfc: 06 00 d9 95
20000c00: 6b 66 c6 00
20000c04: 95 8b 5b 9c
20000c08: 20 8b 59 38
20000c0c: 9a 5e fb 08
20000c10: 58 74 73 08
20000c14: 38 47 a9 e1
20000c18: 9a 3b 9f 73
20000c1c: e4 fd 0e a3
20000c20: 6f 77 04 19
20000c24: e1 54 7a b6
20000c28: fd f6 e4 c4
20000c2c: 5c 7d 3d 91
20000c30: 9d b1 a6 32
20000c34: ba 74 98 77
20000c38: bb 7f b4 34
20000c3c: 98 07 38 a9
20000c40: 71 31 49 e5
20000c44: f1 7a 24 f1
20000c48: 7a 17 62 aa
20000c4c: ca 40 6a 7f
20000c50: 8e 49 80 51
20000c54: d4 16 e0 3e
20000c58: 6f 33 06 ab
20000c5c: 2d 68 f9 d2
20000c60: 68 65 ac 9a
20000c64: 7c 44 08 64
20000c68: 6b 57 dc e0
20000c6c: 8f 40 f2 2b
20000c70: 8c 81 c4 fb
20000c74: 58 5b cf 99
20000c78: 8e 99 fd 1f
20000c7c: d0 46 2f 26
20000c80: 9e d8 de b0
20000c84: 48 89 d3 c2
20000c88: 87 72 40 bc
20000c8c: e6 fa b1 7e
20000c90: 05 ad 8b 35
20000c94: 40 c0 81 d7
20000c98: 3a 6d 45 49
20000c9c: b0 7c 26 9d
20000ca0: 2c 20 5a 6b
20000ca4: 23 ef 78 49
20000ca8: c6 de eb 9f
20000cac: 69 a5 92 d6
20000cb0: 49 29 0e e8
20000cb4: 0a ae f1 cd
20000cb8: 5c 98 5b dd
20000cbc: 14 b4 e2 63
20000cc0: aa a2 7a 74
20000cc4: f4 cf 21 e8
20000cc8: 65 4e 27 c0
20000ccc: 5d 14 f3 8e
20000cd0: 94 ba 5f ee
20000cd4: 2a 5b 23 0a
20000cd8: fd 8d cb 97
20000cdc: 54 2d 5c 96
20000ce0: 5c bd 05 9e
20000ce4: 7e e7 88 e5
20000ce8: 41 7c a8 fa
20000cec: 6c 11 d2 7b
20000cf0: 2d 56 d0 72
20000cf4: 14 b6 34 43
20000cf8: 14 8a a9 c3
20000cfc: 21 fe 47 92
20000d00: 3a 60 a8 11
20000d04: 19 39 88 f9
20000d08: 42 2e 42 99
20000d0c: ea 75 90 bd
20000d10: e6 a7 68 aa
20000d14: 37 88 9c 5a
20000d18: 7e ce 34 5c
20000d1c: 59 85 24 2c
20000d20: 09 08 87 95
20000d24: ae fc 97 c2
20000d28: d1 f4 ef 68
20000d2c: 8f 8b e9 7e
20000d30: ec 3c a1 0a
20000d34: 85 24 9e 75
20000d38: 74 06 85 de
20000d3c: 35 f4 b2 aa
20000d40: c3 d6 88 dc
20000d44: 49 0b c4 8a
20000d48: d0 71 2e 51
20000d4c: 04 e2 16 ff
20000d50: 5e 9e 58 21
20000d54: 67 c6 23 fd
20000d58: de 43 c6 68
20000d5c: 98 d3 7d e3
20000d60: e7 98 62 1c
20000d64: 65 56 c7 74
20000d68: e7 16 f0 e6
20000d6c: 64 b6 dc 2b
20000d70: e1 e4 2b cd
20000d74: 5a 3a 6f d6
20000d78: 66 90 a3 96
20000d7c: f4 8c f1 c0
20000d80: 4b ba 3b b5
20000d84: 69 3f 5a a7
20000d88: e7 bc 7f 29
20000d8c: 45 22 56 d0
20000d90: fa ff 65 d7
20000d94: d2 3f 20 53
20000d98: 44 b2 f1 d5
20000d9c: 4d 78 78 2a
20000da0: 7b ec 21 79
20000da4: c8 2b c1 24
20000da8: 98 ae 5b ad
20000dac: d3 24 1d 68
20000db0: 42 2b cc e4
20000db4: 7d 19 08 6f
20000db8: 39 71 ec bc
20000dbc: 4d a5 b6 6b
20000dc0: d3 32 de af
20000dc4: cd 18 20 10
20000dc8: d3 48 64 56
20000dcc: cd 69 09 c0
20000dd0: 42 7a 1e 3f
20000dd4: c8 c8 29 d7
20000dd8: c3 c2 97 cc
20000ddc: 77 9d 65 b6
20000de0: 43 28 80 d0
20000de4: ed 06 2d 9a
20000de8: 1d 08 05 bf
20000dec: 5f 61 91 3e
20000df0: cf 8a a6 14
20000df4: f3 7e 9d 65
20000df8: 7d d5 88 76
20000dfc: 50 a1 65 c3
20000e00: 32 9b 2e 69
20000e04: b5 07 56 27
20000e08: af a1 16 aa
20000e0c: 65 da 42 72
20000e10: 08 00 f9 ca
20000e14: 93 4f d1 88
20000e18: 00 a0 8e 6f
20000e1c: 00 ee 94 36
20000e20: c8 c9 33 a6
20000e24: 63 1c 8a 82
20000e28: 26 23 58 64
20000e2c: 96 62 a7 06
20000e30: 54 97 44 23
20000e34: 00 54 0d e3
20000e38: fb 8d 14 bd
20000e3c: 6a ab 6c 33
20000e40: 26 a7 25 f6
20000e44: d4 92 0f 45
20000e48: 4e 26 fd 95
20000e4c: d6 b4 0f 31
20000e50: c8 71 a0 01
20000e54: 3f da ed 8e
20000e58: 63 9e cd 5b
20000e5c: 68 e3 d1 62
20000e60: 2f 5c 71 26
20000e64: 70 4d 13 8e
20000e68: ff f3 c6 36
20000e6c: 48 f7 df 7d
20000e70: 3b 8e f2 80
20000e74: 01 aa 4d 53
